WASH7P,MIR6859-1,CICP27,AL627309.7,AL627309.8,AL627309.5,FO538757.2,FO538757.1,AP006222.1,AL732372.2,AL669831.3,MTND1P23,MTND2P28,MTCO1P12,MTCO2P12,MTATP8P1,MTATP6P1,MTCO3P12,CICP3,AL669831.1
RNF144B,AL589647.1,AL022068.1,KRT18P38,ID4,AL008627.1,MBOAT1,E2F3,RN7SL128P,CDKAL1,AL512380.1,AL512380.2,SOX4,BOLA2P3,CASC15,NBAT1,PRL,NRSN1,DCDC2,KAAG1
MRS2,GPLD1,ALDH5A1,KIAA0319,KRT8P43,TDP2,ACOT13,AL031775.1,C6orf62,AL031775.2,AL133264.2,GMNN,RIPOR2,PPIAP29,ASS1P1,CMAHP,AL133268.1,CARMIL1,SCGN,SLC17A3
TRIM38,U91328.2,U91328.4,HIST1H3A,HIST1H4A,HIST1H4B,HIST1H2AB,HIST1H1C,HFE,HIST1H4C,HIST1H1T,HIST1H2BC,HIST1H2AC,HIST1H1E,HIST1H2BD,AL353759.1,LARP1P1,HIST1H2BE,HIST1H4D,HIST1H3D
HIST1H2BF,AL031777.1,HIST1H4E,HIST1H2BG,HIST1H2AE,HIST1H3E,HIST1H2APS3,HIST1H1D,HIST1H3F,HIST1H2BH,HIST1H3G,HIST1H2APS4,HIST1H2BI,HIST1H4H,HIST1H3PS1,BTN3A2,BTN2A2,BTN3A1,BTN2A3P,BTN3A3
BTN2A1,BTN1A1,HCG11,HMGN4,AL121936.1,ABT1,AL513548.3,ZNF322,GUSBP2,LINC00240,AL133255.1,AL021807.1,HIST1H2BJ,HIST1H2AG,HIST1H4I,HIST1H2BK,HIST1H2AH,RPL10P2,PRSS16,POM121L2
ZNF204P,ZNF391,AL031118.1,MCFD2P1,ZNF184,AL021918.1,AL031229.1,LINC01012,GPR89P,AL009179.1,HIST1H2BL,HIST1H2AI,HIST1H3H,HIST1H2AJ,HIST1H2BM,HIST1H4J,HIST1H4K,HIST1H2BN,HIST1H2BPS2,HIST1H2AL
HIST1H1B,HIST1H3I,HIST1H3J,HIST1H2AM,HIST1H2BO,OR2W6P,OR2B6,AL121944.1,ZNF165,ZSCAN12P1,ZNF602P,ZSCAN16-AS1,ZSCAN16,AL358933.1,ZKSCAN8,ZNF192P1,AL022393.1,ZNF603P,TOB2P1,ZSCAN9
ZKSCAN4,NKAPL,ZSCAN26,AL021997.3,PGBD1,AL021997.2,AL021997.1,ZSCAN31,ZKSCAN3,ZSCAN12,ZSCAN23,ZBED9,NOP56P1,AL662890.2,HCG14,TRIM27,RNU6-930P,LINC01556,KRT18P1,HCG15
AL662791.4,ZNF311,AL662860.1,OR2I1P,GABBR1,OR2H2,SUMO2P1,MOG,ZFP57,ZDHHC20P1,HLA-F,HLA-F-AS1,MICE,AL645939.3,IFITM4P,AL645939.5,HLA-V,HCG4,HLA-P,AL645939.1
HLA-G,HCP5B,AL645929.1,HLA-H,HLA-T,HCG4B,HLA-K,HLA-U,HLA-A,HLA-W,MICD,HCG9,DDX39BP2,MCCD1P2,ZNRD1ASP,HLA-J,AL671277.2,ETF1P1,ZNRD1,PPP1R11
RNF39,TRIM31,TRIM31-AS1,TRIM10,TRIM15,TRIM26,AL671855.1,HCG17,HLA-L,AL662795.2,HCG18,TRIM39,RPP21,SUCLA2P1,RANP1,HLA-E,AL662800.1,GNL1,PRR3,ABCF1
PPP1R10,MRPS18B,ATAT1,PTMAP1,C6orf136,DHX16,PPP1R18,NRM,RPL7P4,MDC1,TUBB,AL662797.3,FLOT1,Y_RNA,AL662797.2,IER3,HCG20,LINC00243,DDR1,GTF2H4
VARS2,SFTA2,DPCR1,MUC21,HCG22,C6orf15,PSORS1C1,PSORS1C2,CCHCR1,TCF19,POU5F1,PSORS1C3,AL662844.4,HCG27,AL662844.3,HLA-C,HLA-B,USP8P1,RPL3P2,AL671883.3
HLA-S,AL645933.2,MICA,HCP5,MICB,PPIAP9,DDX39B,SNORD117,DDX39B-AS1,ATP6V1G2,NFKBIL1,LTA,TNF,LTB,LST1,NCR3,AIF1,PRRC2A,BAG6,APOM
C6orf47,GPANK1,Y_RNA,CSNK2B,LY6G5B,LY6G5C,ABHD16A,MPIG6B,LY6G6C,DDAH2,CLIC1,MSH5,MSH5-SAPCD1,RNU6-850P,SAPCD1,SAPCD1-AS1,VWA7,VARS,Y_RNA,LSM2
HSPA1L,HSPA1A,HSPA1B,C6orf48,NEU1,SLC44A4,EHMT2,EHMT2-AS1,C2,ZBTB12,C2-AS1,CFB,NELFE,SKIV2L,DXO,STK19,C4A,CYP21A1P,TNXA,STK19B
C4B,CYP21A2,TNXB,ATF6B,FKBPL,PRRT1,PPT2,PPT2-EGFL8,EGFL8,AGPAT1,RNF5,AGER,PBX2,GPSM3,NOTCH4,AL671511.1,C6orf10,HNRNPA1P2,BTNL2,HLA-DRA
HLA-DRB9,HLA-DRB5,HLA-DRB6,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DQB1-AS1,HLA-DQA2,HLA-DQB2,HLA-DOB,TAP2,PSMB8,PSMB8-AS1,PSMB9,TAP1,PPP1R2P1,HLA-DMB,HLA-DMA,BRD2,HLA-DOA
HLA-DPA1,HLA-DPB1,AL645931.1,HLA-DPB2,HLA-DPA3,COL11A2,RXRB,RNY4P10,SLC39A7,HSD17B8,MIR219A1,RING1,AL645940.1,HCG25,VPS52,RPS18,B3GALT4,WDR46,PFDN6,RGL2
TAPBP,ZBTB22,DAXX,MYL8P,LYPLA2P1,KIFC1,PHF1,CUTA,SYNGAP1,AL662799.1,ZBTB9,GGNBP1,BAK1,LINC00336,ITPR3,UQCC2,IP6K3,LEMD2,LINC01016,AL138889.1
GRM4,CYCSP55,HMGA1,MIR6835,SMIM29,AL354740.1,RPL35P2,NUDT3,RPS10,PACSIN1,SPDEF,AL031577.1,C6orf106,AL451165.2,AL139100.1,SNRPC,UHRF1BP1,TAF11,ANKS1A,HSPE1P11
AL138721.1,TCP11,SCUBE3,Z97832.2,ZNF76,DEF6,PPARD,FANCE,RPL10A,MIR7111,TEAD3,TULP1,AL033519.3,AL033519.2,FKBP5,AL157823.2,ARMC12,CLPSL2,CLPSL1,LHFPL5
SRPK1,SLC26A8,AL133507.1,MAPK14,Z95152.1,MAPK13,Z84485.1,BRPF3,PNPLA1,C6orf222,ETV7,Z84484.1,PXT1,KCTD20,STK38,SRSF3,CDKN1A,RAB44,CPNE5,PPIL1
C6orf89,PI16,MTCH1,FGD2,COX6A1P2,RPL12P2,PIM1,TMEM217,TBC1D22B,RNF8,CMTR1,CCDC167,LINC02520,AL353597.3,MDGA1,AL121574.1,ZFAND3,BTBD9,GLO1,DNAH8
GLP1R,SAYSD1,ANKRD18EP,KCNK5,KCNK17,KIF6,DAAM2,AL592158.1,AL590999.1,MOCS1,FO393411.1,TUBBP9,LRFN2,UNC5CL,OARD1,TSPO2,APOBEC2,NFYA,ADCY10P1,TREML1
TREM2,TREML2,TREML3P,TREML4,TREM1,FOXP4-AS1,LINC01276,FOXP4,MDFI,TFEB,PGC,FRS3,AL365205.1,PRICKLE4,USP49,MED20,BYSL,CCND3,TAF8,AL512274.1
C6orf132,GUCA1B,MRPS10,TRERF1,UBR2,PRPH2,ATP6V0CP3,TBCC,BICRAL,RPL7L1,C6orf226,PTCRA,CNPY3,AL035587.1,RPL24P4,GNMT,PEX6,PPP2R5D,MEA1,KLHDC3
RRP36,AL136304.1,RN7SL403P,CUL7,KLC4,MRPL2,AL355385.1,PTK7,SRF,CUL9,DNPH1,TTBK1,SLC22A7,CRIP3,ZNF318,RPL12P47,AL583834.1,RPS2P28,ABCC10,DLK2
TJAP1,LRRC73,POLR1C,YIPF3,AL355802.3,XPO5,AL355802.2,POLH,AL355802.1,GTPBP2,MAD2L1BP,RSPH9,MRPS18A,VEGFA,AL109615.3,C6orf223,AL109615.2,AL109615.1,MRPL14,TMEM63B
CAPN11,MYMX,SLC29A1,HSP90AB1,SLC35B2,NFKBIE,TMEM151B,AL353588.1,TCTE1,AARS2,SPATS1,CDC5L,SUPT3H,RUNX2,AL096865.1,CLIC5,AL035701.1,ENPP4,ENPP5,ACTG1P9
RCAN2,AL359633.2,CYP39A1,SLC25A27,TDRD6,PLA2G7,MEP1A,ADGRF5,ADGRF1,TNFRSF21,AL355353.1,CD2AP,ADGRF2,ADGRF4,PTCHD4,EEF1A1P42,MUT,CENPQ,C6orf141,CRISP3
TFAP2B,RPS17P5,FTH1P5,AL158050.1,PKHD1,MCM3,PAQR8,EFHC1,TRAM2,TRAM2-AS1,AL109918.1,TMEM14A,GSTA2,GSTA1,GSTA4,ICK,FBXO9,GCM1,AL512378.1,HMGB1P20
ELOVL5,MIR5685,AL034374.2,GCLC,AL033397.2,LINC01564,KLHL31,AL590652.1,LRRC1,AL033384.2,MLIP,AL033384.1,RPSAP44,AL512363.1,FAM83B,HMGCLL1,BMP5,COL21A1,DST,AL512422.2
AL512422.1,BEND6,FTH1P15,AL450489.1,KIAA1586,ZNF451,AL136311.1,BAG2,RAB23,PRIM2,FO680682.1,AL021368.3,AL021368.1,AL021368.2,GUSBP4,LINC00680,AL445250.1,AC244258.1,KHDRBS2,FKBP1C
LGSN,PTP4A1,AL135905.1,AL135905.2,AL513043.1,PHF3,EYS,AL354719.2,AL365217.1,ADH5P4,AL049842.1,AL391807.1,ADGRB3,LMBRD1,NPM1P37,GAPDHP42,COL19A1,COL9A1,AL365226.2,FAM135A
SDHAF4,AL583856.2,AL583856.1,SMAP1,NDUFAB1P1,B3GAT2,LYPLA1P3,AL589935.1,AL589935.2,OGFRL1,LINC00472,AL136164.3,KRT19P1,RIMS1,KCNQ5,KHDC1,AC019205.2,OOEP,AC019205.3,DDX43
MB21D1,MTO1,EEF1A1,AL121972.2,SLC17A5,AL121972.1,AL590428.1,CD109,COL12A1,COX7A2,TMEM30A,AL080250.1,FILIP1,SENP6,RNU6-1016P,MYO6,IMPG1,HTR1B,MEI4,IRAK1BP1
PHIP,HMGN3,HMGN3-AS1,AL355796.1,AL078601.2,LCA5,AL391840.1,AL451064.1,AL451064.2,SH3BGRL2,ELOVL4,GAPDHP63,TTK,AL591135.1,BCKDHB,AL359715.4,AL359715.1,AL359715.5,AL359715.2,AL359715.3
RPSAP72,FAM46A,LINC02542,IBTK,TPBG,UBE3D,DOPEY1,PGM3,RWDD2A,ME1,AL391416.1,PRSS35,SNAP91,CYB5R4,MRAP2,CEP162,TBX18,AL135903.1,LINC02535,TPT1P6
NT5E,SNX14,SYNCRIP,SNHG5,CGA,AL139274.2,ZNF292,GJB7,HSPD1P10,SMIM8,C6orf163,CFAP206,AL049697.1,SLC35A1,RARS2,ORC3,AKIRIN2,CNR1,ACTBP8,RNGTT
AL079342.3,AL353135.1,PNRC1,RN7SL336P,SRSF12,PM20D2,GABRR1,GABRR2,UBE2J1,RRAGD,ANKRD6,LYRM2,MDN1,AL096678.1,AL353692.1,CASP8AP2,BACH2,AL132996.1,MAP3K7,EPHA7
MANEA-AS1,MANEA,FUT9,UFL1-AS1,UFL1,FHL5,RPS7P8,GPR63,NDUFAF4,KLHL32,MMS22L,AL589740.1,POU3F2,FBXL4,BDH2P1,FAXC,COQ3,PNISR,AL513550.1,USP45
CCNC,AL137784.3,PRDX2P4,SIM1,ASCC3,Z86062.1,AL133338.1,AL133338.2,GRIK2,HACE1,BVES,BVES-AS1,POPDC3,PREP,AL133406.2,AL133406.1,RPL35P3,ATG5,PRDM1,AL022067.1
CRYBG1,RTN4IP1,QRSL1,RPL21P65,LINC02526,LINC02532,CD24,C6orf203,BEND3,PDSS2,RPS24P12,SOBP,AL121957.1,AL096816.1,SCML4,SEC63,AL024507.2,RPL3P7,Z98200.1,OSTM1
NR2E1,SNX3,AFG1L,FOXO3,LINC00222,ZNF259P1,ARMC2,AL445189.2,SESN1,AL390208.1,CEP57L1,CCDC162P,CD164,AL359711.2,PPIL6,SMPD2,MICAL1,ZBTB24,AL109947.1,AK9
FIG4,WASF1,CDC40,METTL24,DDO,SLC22A16,CDK19,CNN2P9,Z84480.1,AMD1,AL357515.1,GTF3C6,RPF2,SLC16A10,MFSD4B,AL080317.2,REV3L,AL080317.3,FCF1P5,REV3L-IT1
BRD7P4,TRAF3IP2-AS1,AL136310.1,TRAF3IP2,Z97989.1,FYN,WISP3,TUBE1,FAM229B,LAMA4,Z99289.1,Z99289.2,AL365214.2,RPSAP45,KRT18P65,AL358942.1,RPS27AP11,LINC02541,MARCKS,LINC01268
FO393415.1,HDAC2,HDAC2-AS2,HS3ST5,RPSAP43,FRK,TPI1P3,NT5DC1,COL10A1,TSPYL4,DSE,TSPYL1,CBX3P9,KRT18P22,FAM26F,TRAPPC3L,FAM26E,RWDD1,RSPH4A,ZUFSP
KPNA5,FAM162B,RFX6,ROS1,DCBLD1,GOPC,NEPNP,NUS1,SLC35F1,AL450405.1,AL589993.1,CEP85L,PLN,MCM9,ASF1A,AL365275.1,FAM184A,MAN1A1,AL022722.1,TBC1D32
GJA1,SLC25A5P7,RPL23AP48,HSF2,Z99129.4,SERINC1,Z99129.1,PKIB,Z99129.3,FABP7,SMPDL3A,CLVS2,TRDN,NKAIN2,RNF217-AS1,RNF217,TPD52L1,HDDC2,AL450332.1,AL365259.1
HEY2,NCOA7,HINT3,TRMT11,CENPW,PRELID1P1,RSPO3,RNF146,ECHDC1,RNA5SP217,YWHAZP4,RPL5P18,KIAA0408,SOGA3,C6orf58,THEMIS,PTPRK,AL590006.1,EEF1DP5,LAMA2
MESTP1,BMPR1APS1,AL356124.2,AL356124.1,ARHGAP18,TMEM244,L3MBTL3,AL355581.1,SAMD3,TMEM200A,SMLR1,EPB41L2,AKAP7,ARG1,MED23,ENPP3,CTAGE9,ENPP1,AL139805.2,CTGF
AL133346.1,AL021408.1,LINC01013,EEF1A1P36,MOXD1,STX7,VNN1,VNN3,VNN2,SLC18B1,RPS12,SNORD101,SNORD100,SNORA33,EYA4,TARID,TCF21,TBPL1,SLC2A12,SGK1
KRT8P42,AL078590.2,LINC01010,AL078590.3,ALDH8A1,HBS1L,MIR3662,AL353596.1,MYB,AHI1,AL049552.1,LINC00271,GAPDHP73,PDE7B,AL138828.1,MTFR2,BCLAF1,AL023284.4,MAP7,AL024508.2
MAP3K5,AL024508.1,RNA5SP219,PEX7,AL365223.1,SLC35D3,IL20RA,IL22RA2,IFNGR1,BTF3L4P3,AL357060.1,AL356234.2,AL356234.1,LINC02539,AL357060.2,TNFAIP3,AL591468.1,PERP,ARFGEF3,MARCKSL1P2
HEBP2,NHSL1,AL391669.1,AL590617.1,AL590617.2,GVQW2,CCDC28A,ECT2L,REPS1,ABRACL,HECA,AL031772.1,TXLNB,AL158850.1,AL592429.1,CITED2,LINC01625,AL050338.2,AL138737.1,AL035446.1
AL355596.1,NMBR,AL589674.2,VTA1,ADGRG6,HIVEP2,AL023584.2,AL355304.1,LINC01277,AL023581.2,AIG1,AL136116.3,ADAT2,TUBB8P2,PEX3,AL031320.2,VDAC1P8,FUCA2,PHACTR2,PHACTR2-AS1
LTV1,AL049844.2,PLAGL1,HYMAI,SF3B5,STX11,TPT1P4,UTRN,EPM2A,AL023806.1,AL023806.3,FBXO30,AL356599.1,SHPRH,GRM1,RAB32,ADGB,KATNBL1P6,STXBP5-AS1,STXBP5
YAP1P1,SAMD5,SASH1,CYP51A1P3,SNRPEP6,UST,AL357992.1,AL603766.1,AL031056.1,TAB2,SUMO4,ZC3H12D,AL031133.1,PPIL4,RNU7-3P,GINM1,AL078581.3,AL078581.1,RPS18P9,SNORA2
KATNA1,LATS1,AL358852.1,NUP43,PCMT1,BTBD10P2,AL355312.2,LRP11,AL355312.3,CCT7P1,RAET1E,AL355312.1,RAET1G,ULBP2,ULBP1,BTF3P10,RAET1K,RAET1L,ULBP3,PPP1R14C
IYD,PLEKHG1,AL450344.3,PDCL3P5,MTHFD1L,ARL4AP5,AL133260.1,AL356535.1,AKAP12,ZBTB2,RMND1,HSPA8P15,ARMT1,CCDC170,ESR1,AL078582.1,SYNE1,MYCT1,VIP,AL160162.1
FBXO5,AL080276.2,MTRF1L,RGS17,AL590867.2,OPRM1,IPCEF1,CNKSR3,RPS4XP8,SCAF8,TIAM2,AL596202.1,TFB1M,CLDN20,AL355297.3,AL355297.4,ARID1B,AL162578.1,TMEM242,LDHAL6FP
AL390955.2,AL390955.1,AL117344.1,ZDHHC14,SNX9,SYNJ2,SERAC1,GTF2H5,TULP4,SRP72P2,TMEM181,TATDN2P2,DYNLT1,SYTL3,EZR,EZR-AS1,C6orf99,RSPH3,AL035530.2,TAGAP
AL356417.1,AL356417.2,FNDC1,AL078604.1,AL078604.2,SOD2,HNRNPH1P1,RNU4ATAC18P,WTAP,ACAT2,TCP1,SNORA20,MRPL18,PNLDC1,MAS1,IGF2R,SLC22A1,SLC22A2,SLC22A3,LPAL2
LPA,PLG,AL139393.1,AL139393.2,MAP3K4,AGPAT4,PRKN,PACRG,PACRG-AS1,CAHM,QKI,AL445307.1,AL137005.1,C6orf118,PDE10A,GAPDHP72,PRR18,SFT2D1,HNRNPA1P49,MPC1
AL022069.1,AL022069.2,RPS6KA2,RPS6KA2-IT1,FAM103A2P,RNASET2,Z94721.1,FGFR1OP,Z94721.2,CCR6,GPR31,UNC93A,TTLL2,LINC02538,LINC02487,LINC01558,AL009178.2,AFDN-AS1,AFDN,AL049698.1
KIF25-AS1,KIF25,FRMD1,AL606970.3,DACT2,SMOC2,LINC01615,LINC02544,BX322234.1,THBS2,LINC02519,AL009176.1,WDR27,C6orf120,PHF10,AL354892.2,TCTE3,ERMARD,AL354892.3,LINC00242
LINC00574,AL049612.1,AL596442.2,LINC01624,DLL1,FAM120B,AL078605.1,AL008628.1,PSMB1,TBP,PDCD2,AL731684.2,None,None,None,None,None,None,None,None
AC215522.2,AC093627.6,AC093627.5,AC093627.4,AC093627.7,FAM20C,AC145676.1,AC226118.1,PDGFA,HRAT92,PRKAR1B,AC147651.1,AC147651.3,DNAAF5,SUN1,GET4,AC073957.3,ADAP1,COX19,CYP2W1
C7orf50,MIR339,AC073957.1,GPR146,AC091729.1,AC091729.2,GPER1,ZFAND2A,AC091729.3,MICALL2,AC102953.1,AC102953.2,INTS1,AC093734.1,MAFK,TMEM184A,PSMG3,PSMG3-AS1,ELFN1,ELFN1-AS1
MAD1L1,AC104129.1,MRM2,NUDT1,SNX8,EIF3B,AC004840.1,CHST12,GRIFIN,LFNG,BRAT1,IQCE,TTYH3,AMZ1,GNA12,CARD11,AC073316.1,AC073316.3,SDK1,FOXK1
AP5Z1,RADIL,AC092610.1,RNF216P1,AC092032.1,SPDYE19P,RBAK,AC092028.1,ZNF890P,WIPI2,SLC29A4,TNRC18,AC093620.1,AC092171.1,AC092171.4,AC092171.3,AC092171.5,FBXL18,MIR589,ACTB
AC006483.1,FSCN1,RNF216,RNF216-IT1,ZNF815P,OCM,CCZ1,RSPH10B,PMS2,AIMP2,SNORA80D,EIF2AK1,ANKRD61,AC004895.1,USP42,CYTH3,FAM220A,RAC1,DAGLB,KDELR2
AC072052.1,GRID2IP,ZDHHC4,C7orf26,ZNF853,ZNF316,AC073343.2,AC073343.1,ZNF12,PMS2CL,RSPH10B2,CCZ1B,UNC93B2,ALG1L5P,C1GALT1,AC005532.1,COL28A1,AC004982.1,AC004982.2,MIOS
AC004948.1,RPA3,UMAD1,AC007161.1,AC006042.4,AC006042.2,GLCCI1,AC006042.3,ICA1,AC006042.1,AC007128.1,NXPH1,GAPDHP68,AC060834.1,HSPA8P8,NDUFA4,AC007029.1,PHF14,AC004160.1,THSD7A
TMEM106B,VWDE,AC013470.2,AC013470.3,TAS2R2P,SCIN,ARL4A,AC011287.1,AC005019.1,ETV1,DGKB,AGMO,MEOX2,AC005550.3,MEOX2-AS1,AC005550.2,ISPD,RPL36AP29,ISPD-AS1,SOSTDC1
AC005014.3,AC005014.1,AC005014.2,ANKMY2,BZW2,AC073333.1,TSPAN13,AGR2,AGR3,RAD17P1,AC003075.1,AHR,AC019117.2,AC019117.1,SNX13,AC080080.1,HDAC9,TWIST1,AC003986.2,TWISTNB
AC004543.1,AC005062.1,RPL21P75,MACC1,AC005083.1,AC004130.1,ITGB8,ABCB5,SP8,RPL23P8,ASS1P11,SP4,DNAH11,CDCA7L,RAPGEF5,STEAP1B,EEF1A1P6,AC002480.2,AC002480.3,AC073072.1
IL6,AC073072.2,TOMM7,SNHG26,SNORD93,AC005682.1,RPL12P10,FAM126A,KLHL7-AS1,KLHL7,AK3P3,NUPL2,AC005082.1,GPNMB,MALSU1,IGF2BP3,RPS2P32,TRA2A,CLK2P1,CCDC126
FCF1P1,FAM221A,AC006026.3,STK31,NPY,MPP6,DFNA5,OSBPL3,CYCS,C7orf31,AC004129.1,AC005165.1,AC005165.2,AC010719.1,NFE2L3,HNRNPA2B1,CBX3,AC010677.1,SNX10,AC004540.2
AC004540.1,KIAA0087,AC004947.2,AC004947.1,C7orf71,SKAP2,HOXA1,HOTAIRM1,HOXA2,HOXA3,HOXA-AS2,HOXA4,HOXA-AS3,HOXA5,HOXA6,HOXA7,HOXA9,HOXA10-AS,HOXA10,HOXA11
HOXA11-AS,AC004080.2,HOXA13,HOTTIP,EVX1,EIF4HP1,AC073150.1,HIBADH,AC005091.1,TAX1BP1,JAZF1,JAZF1-AS1,CREB5,TRIL,AC005013.1,AC005162.3,AC005162.2,CPVL,CHN2,AC007255.1
PRR15,ZNRF2P2,DPY19L2P3,WIPF3,SCRN1,AC007285.1,FKBP14,PLEKHA8,AC007285.2,MTURN,AC007036.2,RPS27P16,AC007036.1,ZNRF2,AC006978.2,AC006978.1,LINC01176,NOD1,GGCT,AC005154.1
AC005154.3,AC005154.5,AC005154.2,GARS,CRHR2,INMT,MINDY4,AC004691.1,AQP1,GHRHR,ADCYAP1R1,CCDC129,PDE1C,AC018641.1,SLC25A5P5,LSM5,AVL9,DPY19L1P1,ZNRF2P1,AC018645.2
AC018645.3,DPY19L1P2,AC018648.1,KBTBD2,RP9P,FKBP9,RNU6-388P,NT5C3A,RP9,BBS9,AC008080.1,AC008080.4,BMPER,AC009262.1,NPSR1-AS1,NPSR1,NCAPD2P1,DPY19L1,DPY19L2P1,HERPUD2
AC018647.2,AC018647.1,SEPT7-AS1,SEPT7,EEPD1,AC006960.3,KIAA0895,ANLN,AOAH,NPM1P18,ELMO1,GPR141,EPDR1,NME8,SFRP4,STARD3NL,TRGC2,TRGC1,TRGV10,AC006033.1
TRGV9,AC006033.2,TRGV8,TRGV7,TRG-AS1,TRGV5P,TRGV5,TRGV4,TRGV3,TRGV2,AMPH,KRT8P20,FAM183BP,VPS41,POU6F2,AC011290.1,YAE1D1,AC011290.2,RALA,AC004837.2
LINC00265,CICP22,AC004987.2,RWDD4P2,AC072061.1,CDK13,AC006023.2,MPLKIP,SUGCT,AC004988.1,LINC01449,INHBA,INHBA-AS1,GLI3,TCP1P1,AC010132.4,C7orf25,PSMA2,MRPL32,AC005537.1
HECW1,LUARIS,STK17A,COA1,BLVRA,MRPS24,URGCP,TUBG1P,UBE2D4,POLR2J4,AC004951.4,AC004951.3,AC004951.2,SPDYE1,AC004951.1,POLR2J4,RASA4CP,LINC00957,DBNL,POLM
AEBP1,POLD2,MYL7,GCK,YKT6,CAMK2B,AC004453.2,NUDCD3,AC004453.1,NPC1L1,DDX56,TMED4,OGDH,ZMIZ2,PPIA,H2AFV,LINC01952,PURB,AC004854.2,AC004854.1
AC004847.1,MYO1G,SNHG15,CCM2,NACAD,TBRG4,SNORA5A,SNORA5C,RAMP3,AC073325.2,ADCY1,SEPT7P2,GTF2IP13,IGFBP1,IGFBP3,AC073115.2,AC073115.1,FTLP15,AC011294.1,AC004870.2
TNS3,LINC01447,HUS1,LINC00525,PKD1L1,AC069282.1,SUN3,C7orf57,UPP1,ABCA13,VWC2,ZPBP,IKZF1,FIGNL1,DDC,GRB10,AC004830.1,COBL,AC012441.2,HAUS6P1
HAUS6P3,SLC25A5P3,VSTM2A,SEC61G,AC074351.1,AC006971.1,EGFR,EGFR-AS1,AC073324.2,LANCL2,VOPP1,TUBBP6,FKBP9P1,SUMO2P3,AC091812.3,AC091812.2,PSPHP1,AC092647.5,ZNF713,NIPSNAP2
MRPS17,PSPH,CCT6A,SNORA22B,SUMF2,PHKG1,CHCHD2,NUPR2,AC006970.1,AC006970.2,AC073136.1,AC092447.2,AC118758.3,TNRC18P3,AC237221.1,TNRC18P2,GABPAP,AC092634.3,AC092634.4,ZNF727
TRIM60P17,AC091685.2,ZNF736,YWHAEP1,ZNF680P1,HNRNPCP7,ZNF680,BNIP3P42,AC016769.3,AC016769.1,ZNF107,BNIP3P11,AC091799.1,ZNF138,AC073349.2,SEPHS1P1,EEF1DP4,ZNF273,AC073349.1,VN1R42P
MTDHP1,ZNF117,ERV3-1,CCT6P3,AC073210.1,GTF2IP14,INTS4P1,ZNF92,AC073107.1,INTS4P2,CCT6P1,SNORA22,SNORA15B-2,AC073107.2,GTF2IP5,AC093582.1,VKORC1L1,GUSB,AC068533.2,ASL
CRCP,AC068533.3,TPST1,LINC00174,AC008267.2,AC008267.7,GS1-124K5.4,AC008267.1,AC008267.3,AC006001.3,AC006001.1,RPL35P5,KCTD7,AC006001.2,RABGEF1,AC027644.3,AC027644.2,GTF2IRD1P1,AC027644.1,GTF2IP23
AC073335.2,AC073335.1,TMEM248,SBDS,TYW1,SPDYE21P,PMS2P4,STAG3L4,AC006480.1,AC006480.2,AC006012.1,AUTS2,GALNT17,CALN1,TYW1B,SBDSP1,POM121,AC211476.2,NSUN5P2,TRIM74
STAG3L3,PMS2P7,GTF2IP4,NCF1B,GTF2IRD2P1,POM121B,NSUN5,TRIM50,AC211485.1,FKBP6,FZD9,BAZ1B,BCL7B,TBL2,MLXIPL,AC005089.1,VPS37D,DNAJC30,BUD23,STX1A
ABHD11-AS1,ABHD11,CLDN3,CLDN4,METTL27,TMEM270,ELN,AC005056.1,LIMK1,EIF4H,MIR590,LAT2,RFC2,CLIP2,GTF2IRD1,AC211433.2,GTF2I,AC211433.1,NCF1,GTF2IRD2
STAG3L2,PMS2P5,SPDYE12P,CASTOR2,RCC1L,GTF2IRD2B,NCF1C,GTF2IP1,PMS2P10,PMS2P2,STAG3L1,AC211486.1,TRIM73,NSUN5P1,POM121C,SPDYE5,PMS2P3,HIP1,CCL26,CCL24
RHBDD2,POR,RPL7L1P3,TMEM120A,STYXL1,AC006330.1,MDH2,AC005077.4,GTF2IP7,AC005077.2,SRRM3,HSPB1,YWHAG,SSC4D,ZP3,DTX2,UPK3B,AC004980.3,SPDYE16,AC004980.1
POMZP3,AC004980.2,DTX2P1-UPK3BP1-PMS2P11,DTX2P1,SPDYE17,SPDYE18,AC007000.2,FAM185BP,AC007000.1,CCDC146,FGL2,AC098851.1,GSAP,AC004921.1,PTPN12,APTR,RSBN1L,TMEM60,PHTF2,AC004990.1
MAGI2,MAGI2-AS3,GNAI1,CD36,SEMA3C,HGF,CACNA2D1,PCLO,SEMA3E,SEMA3A,HNRNPA1P8,SEMA3D,HSPA8P16,GRM3,AC005009.2,KIAA1324L,AC005076.1,DMTF1,TMEM243,TP53TG1
CROT,ABCB4,ABCB1,HNRNPA1P9,RUNDC3B,SLC25A40,DBF4,ADAM22,SRI,AC003991.2,AC003991.1,STEAP4,EEF1A1P28,STEAP2-AS1,DPY19L2P4,STEAP1,STEAP2,CFAP69,AC002064.2,AC002064.1
FAM237B,GTPBP10,CLDN12,CDK14,AC002456.1,FZD1,AC079760.2,MTERF1,AKAP9,CYP51A1,LRRD1,CYP51A1-AS1,KRIT1,AC000120.1,Y_RNA,MIR1285-1,ANKIB1,TMBIM7P,GATAD1,AC007566.1
